PUA-6875;818;01/07/2021;09:05;10:37
PUA-6688;1641;01/07/2021;10:39;15:18
PUC-3659;417;01/07/2021;11:37;13:17
PUE-3133;1294;01/07/2021;11:40;15:42
PUD-0906;800;01/07/2021;17:11;23:20
PUB-1562;2083;01/07/2021;17:48;19:15
PUC-0891;1369;02/07/2021;08:05;08:52
PUC-1468;107;02/07/2021;08:07;09:12
PUB-4988;1347;02/07/2021;08:21;13:28
PUC-0782;1192;02/07/2021;08:50;13:10
PUB-7339;603;02/07/2021;09:00;14:17
PUE-7697;576;02/07/2021;09:07;13:14
PUF-3422;684;02/07/2021;09:10;13:04
PUD-1079;197;02/07/2021;09:54;11:56
PUD-2533;1793;02/07/2021;10:40;13:02
PUD-3807;1175;02/07/2021;13:40;16:26
PUE-1057;1133;02/07/2021;14:42;17:20
PUB-7865;894;02/07/2021;15:42;21:14
PUB-5530;955;02/07/2021;16:34;21:34
PUA-8462;1109;02/07/2021;16:54;17:23
PUC-3336;364;03/07/2021;08:25;09:14
PUF-6782;2262;03/07/2021;08:34;09:52
PUA-7892;1171;03/07/2021;09:13;10:14
PUA-7864;129;03/07/2021;09:42;14:52
PUA-1042;2033;03/07/2021;09:47;14:27
PUA-0351;1777;03/07/2021;09:50;11:45
PUE-7600;955;03/07/2021;09:53;11:55
PUD-1668;603;03/07/2021;10:10;14:06
PUB-1498;248;03/07/2021;10:20;10:48
PUC-8829;322;03/07/2021;10:50;11:36
PUF-9491;133;03/07/2021;10:54;12:03
PUB-4593;2409;03/07/2021;12:26;18:21
PUE-3037;1894;03/07/2021;12:47;16:09
PUE-9885;919;03/07/2021;13:00;13:49
PUC-2737;1887;03/07/2021;13:42;15:32
PUF-9678;677;03/07/2021;13:48;17:21
PUD-9949;1862;03/07/2021;14:01;18:58
PUB-5990;2372;03/07/2021;16:28;18:35
PUB-9831;2028;04/07/2021;08:12;11:36
PUC-4698;279;04/07/2021;08:48;10:59
PUE-7356;547;04/07/2021;09:04;13:48
PUA-0573;1111;04/07/2021;09:21;14:56
PUB-1964;692;04/07/2021;09:34;15:19
PUF-7311;865;04/07/2021;09:36;12:37
PUF-6445;1168;04/07/2021;10:45;14:38
PUF-6956;1808;04/07/2021;10:56;17:04
PUF-6073;752;04/07/2021;12:58;13:51
PUB-0365;1845;04/07/2021;16:42;22:04
PUA-1756;288;04/07/2021;17:47;23:18
PUF-0341;2287;05/07/2021;08:19;13:21
PUE-3391;1246;05/07/2021;08:32;10:39
PUF-3707;1953;05/07/2021;08:48;10:19
PUF-5657;1004;05/07/2021;09:39;12:17
PUB-2856;2359;05/07/2021;10:33;11:20
PUB-1959;1612;05/07/2021;17:25;21:54
PUE-3087;843;06/07/2021;09:26;15:19
PUA-5304;1610;06/07/2021;10:09;15:55
PUB-5006;176;06/07/2021;10:18;13:57
PUB-5151;2377;06/07/2021;10:22;12:12
PUD-8641;717;06/07/2021;10:31;12:53
PUD-2347;973;06/07/2021;10:45;16:30
PUB-3075;1476;06/07/2021;11:58;15:22
PUA-1689;443;06/07/2021;12:35;13:33
PUE-5173;2310;06/07/2021;12:47;17:10
PUF-0341;1448;06/07/2021;14:03;16:50
PUE-4370;1389;06/07/2021;15:01;16:38
PUB-3370;1874;06/07/2021;15:42;21:26
PUD-6957;158;07/07/2021;08:05;09:54
PUE-4760;516;07/07/2021;08:17;13:05
PUC-9686;683;07/07/2021;08:28;11:47
PUE-6335;2440;07/07/2021;08:32;09:05
PUA-6133;1584;07/07/2021;08:45;12:28
PUD-8666;271;07/07/2021;09:06;10:22
PUA-5435;1271;07/07/2021;09:06;11:11
PUD-9736;635;07/07/2021;09:07;15:03
PUB-2442;791;07/07/2021;09:07;12:28
PUE-5104;662;07/07/2021;09:16;13:09
PUD-2095;2431;07/07/2021;09:39;14:29
PUA-8209;1649;07/07/2021;09:39;15:40
PUF-8717;258;07/07/2021;09:56;12:25
PUF-8880;327;07/07/2021;10:00;14:43
PUE-1790;1406;07/07/2021;10:02;14:46
PUB-7737;1146;07/07/2021;10:20;16:29
PUB-8599;1594;07/07/2021;10:21;13:25
PUF-4734;2003;07/07/2021;10:48;16:04
PUC-8091;2528;07/07/2021;10:59;15:39
PUD-5933;1312;07/07/2021;12:45;13:00
PUC-1107;982;07/07/2021;12:48;17:54
PUB-0939;1291;07/07/2021;12:53;14:17
PUD-7502;1584;07/07/2021;14:24;17:39
PUE-5219;646;07/07/2021;16:18;20:05
PUE-2436;596;07/07/2021;16:53;20:37
PUC-4558;2343;07/07/2021;17:39;21:44
PUE-4676;701;08/07/2021;08:48;14:16
PUB-5409;983;08/07/2021;08:52;10:17
PUB-1188;2208;08/07/2021;09:20;10:23
PUB-1054;1016;08/07/2021;09:49;15:53
PUD-8598;216;08/07/2021;09:55;13:10
PUE-2105;2036;08/07/2021;10:27;13:11
PUE-0082;1892;08/07/2021;10:47;13:00
PUA-6049;866;08/07/2021;13:56;15:42
PUB-0238;2486;08/07/2021;14:37;16:32
PUA-6110;610;08/07/2021;15:37;21:12
PUA-7035;647;08/07/2021;17:04;21:24
PUE-5915;2423;08/07/2021;17:22;19:29
PUB-8767;595;09/07/2021;08:24;09:12
PUD-2786;1716;09/07/2021;08:42;11:22
PUB-1908;2131;09/07/2021;08:46;11:52
PUC-7087;2498;09/07/2021;08:46;11:07
PUD-0562;424;09/07/2021;08:57;14:52
PUB-3032;1402;09/07/2021;09:54;13:31
PUF-8881;1939;09/07/2021;10:03;15:56
PUD-7265;1909;09/07/2021;10:27;13:48
PUA-8667;708;09/07/2021;10:47;14:22
PUC-2215;830;09/07/2021;10:54;14:54
PUC-5798;906;09/07/2021;12:35;14:46
PUF-1501;226;09/07/2021;13:07;17:45
PUB-6133;963;09/07/2021;14:06;15:03
PUB-6520;2142;09/07/2021;14:28;17:32
PUE-4984;985;09/07/2021;16:25;21:04
PUD-4524;1165;10/07/2021;08:15;09:00
PUA-6813;827;10/07/2021;08:32;11:45
PUB-7929;2453;10/07/2021;09:10;10:01
PUC-6766;1089;10/07/2021;09:48;13:21
PUC-4656;869;10/07/2021;09:58;13:58
PUF-7926;381;10/07/2021;10:42;14:38
PUF-6184;1701;10/07/2021;10:44;13:02
PUF-1405;1439;10/07/2021;13:20;18:12
PUA-1431;625;10/07/2021;13:29;16:08
PUB-5413;907;10/07/2021;14:59;15:51
PUE-2506;769;10/07/2021;16:16;20:25
PUC-1290;1457;11/07/2021;08:01;12:30
PUB-6458;263;11/07/2021;09:18;10:00
PUF-3950;2428;11/07/2021;09:30;12:26
PUF-8881;1977;11/07/2021;10:22;11:26
PUF-6870;751;11/07/2021;10:47;14:52
PUC-2128;1610;11/07/2021;14:07;16:07
PUD-9735;318;11/07/2021;14:42;16:21
PUB-8799;1248;11/07/2021;15:50;19:27
PUE-0890;534;12/07/2021;08:13;11:36
